source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Fibroblast,MCF10A,LAMC1,ITGA2_ITGB1,0.44723174,0.598,0.2000041,-0.0010860277277480108,0.03639890500353893,0.12238723,0.9160577,0.11101857635675542,0.3797991388697183
Fibroblast,MCF7,LGALS1,ITGB1,1.7837238,0.996,1.728963,-0.02635900528251519,-0.052048517772368186,0.10964983,0.9697757,1.0,0.38882104627327896
MCF10A,MCF10A,COL1A1,ITGA2_ITGB1,2.137168,0.397,1.723362,0.001089095403795834,-0.0651723696944202,0.11707648,0.9697281,0.3506156011661736,0.38882104627327896
Fibroblast,MCF10A,COL1A1,ITGA2_ITGB1,2.1309738,0.654,1.7177783,-0.0019703367745026188,-0.012209835607478015,0.116697155,0.9696804,0.1386533518256414,0.40434886842014384
MCF10A,MCF7,COL1A2,CD44,1.7692738,1.0,1.7429566,-0.07127954976745654,-0.2637152959635072,0.10056861,0.9698936,1.0,0.40434886842014384
Fibroblast,Fibroblast,COL3A1,ITGA2_ITGB1,0.7988462,0.0,0.52183586,0.0028125197443068352,0.17152188044065952,0.12600985,0.94631577,0.006526415937235273,0.40907099313765666
Fibroblast,Fibroblast,LAMC1,ITGA2_ITGB1,0.45076936,0.003,0.20314375,0.0016381925144821814,0.16431556735054764,0.12430845,0.91665465,0.015625,0.41990355042569294
MCF10A,Fibroblast,LGALS1,ITGB1,1.7347593,1.0,1.8982971,-0.03867995236037424,0.024007352256383285,0.120388895,0.97111535,1.0,0.4201099153159958
MCF7,MCF10A,COL1A1,ITGA2_ITGB1,2.1242437,0.666,1.7117118,-0.005294037176423761,-0.11023054440116797,0.116285026,0.9696284,0.6596487303185815,0.4201099153159958
MCF7,MCF7,FN1,CD44,0.75633883,1.0,0.5448455,-0.07946457607884615,-0.36480923934003373,0.09360842,0.94740134,1.0,0.42087036376117576
MCF7,Fibroblast,COL6A1,CD44,0.755764,1.0,0.56705874,-0.05565402071801728,-0.10171754413659473,0.108510554,0.94838816,1.0,0.43289447686781984
MCF10A,MCF7,COL6A2,CD44,0.7808031,1.0,0.5737821,-0.06496929740631927,-0.3322962315527247,0.10195188,0.9486759,1.0,0.4451456030153278
Fibroblast,MCF10A,COL3A1,ITGA2_ITGB1,0.79530853,0.453,0.5137707,8.829950207664308e-05,0.04360521809365081,0.12406233,0.94591874,0.05602882829741234,0.4451456030153278
Fibroblast,Fibroblast,FN1,ITGA2,0.7869249,0.0,0.51092094,0.0038827822032095035,0.21670601157028346,0.13020255,0.9457763,0.0021329766292235803,0.4576255645020191
MCF7,MCF10A,FN1,CD44,0.7740406,1.0,0.5774617,-0.06804304938996343,-0.2981856963735685,0.09921212,0.94883126,1.0,0.4576255645020191
MCF10A,MCF10A,COL6A1,CD44,0.7486092,1.0,0.54558045,-0.06265224765163312,-0.26727539267427836,0.10440052,0.9474349,1.0,0.4576255645020191
