source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
MCF10A,Fibroblast,COL4A1,CD44,0.7147535,0.195,0.50878376,0.016570313287614862,0.139493558239973,0.1282376,0.9429432,0.0039054529281253208,0.40652617122543067
MCF7,Fibroblast,COL1A1,ITGA2_ITGB1,1.7869917,1.0,1.3288212,-0.025359737110093823,0.010866037895973513,0.121950954,0.9639096,1.0,0.4089100378685814
MCF10A,MCF7,LGALS1,ITGB1,1.6147026,1.0,1.6411407,-0.06614038692408063,-0.11694880275136854,0.10828726,0.967407,1.0,0.4089100378685814
MCF7,Fibroblast,PKM,CD44,0.7203453,0.0,0.51626617,0.017990101320136728,0.10890213188619868,0.12108052,0.9433347,0.020690801516289874,0.41741468386718333
Fibroblast,Fibroblast,LAMC1,ITGA2_ITGB1,0.41747275,0.0,0.17426713,0.002648645789256437,0.19353973572835592,0.12850791,0.90629745,0.007645406734512668,0.4278750060517341
MCF10A,Fibroblast,COL6A1,CD44,0.7217841,0.973,0.51819146,-0.03521866814519989,0.01794278645759939,0.10949647,0.9434341,1.0,0.4284959083813481
MCF10A,MCF7,COL1A1,ITGA2_ITGB1,1.857411,0.344,1.2791182,0.0006403855948214042,-0.04351873117206395,0.11738952,0.9632407,0.35407417526125273,0.43844457002158777
MCF7,MCF7,COL6A1,CD44,0.7333727,1.0,0.52350146,-0.030457760028642422,-0.19621751963400658,0.11061851,0.9437055,1.0,0.43977153522139245
Fibroblast,MCF10A,COL6A1,CD44,0.745662,0.884,0.53013235,-0.024274181006972064,-0.037948016924924,0.11201964,0.9440389,0.7548163120688476,0.4512434065629265
Fibroblast,Fibroblast,COL3A1,ITGA2_ITGB1,0.75239116,0.0,0.45661548,0.0032778979572764787,0.1686716652492528,0.1297886,0.9399624,0.004371286114336453,0.4512434065629265
MCF10A,MCF7,PKM,CD44,0.70458287,0.347,0.48816785,0.0071717768725777405,-0.08551187018502504,0.114490576,0.94182026,0.6749097756300796,0.4512434065629265
MCF10A,Fibroblast,PKM,CD44,0.732284,0.083,0.53224134,0.025681785546239715,0.1387517550966657,0.124827184,0.9441437,0.0027289724012074554,0.4629129120197474
Fibroblast,MCF7,MMP1,ITGA2,0.42425856,0.991,0.17837682,-0.01184326743899071,-0.03936632365249504,0.12396879,0.9072825,1.0,0.464619084485754
MCF10A,MCF10A,LGALS1,ITGB1,1.567331,1.0,1.3950337,-0.09722372340543613,-0.39861976915155317,0.0920484,0.96474594,1.0,0.46875
Fibroblast,MCF7,COL1A1,ITGA2_ITGB1,1.8331778,0.962,1.2605057,-0.010618985516926395,-0.010632587478258237,0.11568139,0.9629803,0.4712281076412133,0.46875
MCF7,MCF10A,COL6A2,CD44,0.7524104,0.983,0.5380253,-0.04035513773411129,-0.21401821968810197,0.10078972,0.944428,1.0,0.4747818911850113
Fibroblast,Fibroblast,COL4A1,CD44,0.6962626,0.0,0.4840411,0.004613467957337369,0.2559911324389894,0.12200127,0.94158727,0.010672085240079229,0.4747818911850113
MCF10A,MCF7,COL6A1,CD44,0.694083,0.996,0.4752814,-0.05372867681886186,-0.20632083882409136,0.10042935,0.94108295,1.0,0.48685203451218373
MCF7,MCF10A,FN1,CD44,0.755717,0.968,0.5418926,-0.03526425767632532,-0.20224106398716324,0.100451,0.94461566,1.0,0.48685203451218373
