Barcode,CellType
s_008um_00707_00071-1,
s_008um_00629_00745-1,Fibroblast
s_008um_00437_00656-1,
s_008um_00296_00186-1,Fibroblast
s_008um_00461_00238-1,
s_008um_00741_00735-1,Fibroblast
s_008um_00815_00542-1,Fibroblast
s_008um_00137_00254-1,
s_008um_00047_00799-1,
s_008um_00444_00702-1,
s_008um_00366_00181-1,MCF10A
s_008um_00203_00182-1,
s_008um_00626_00544-1,Fibroblast
s_008um_00816_00303-1,
s_008um_00833_00659-1,MCF7
s_008um_00807_00111-1,MCF10A
s_008um_00245_00252-1,Fibroblast
s_008um_00392_00773-1,
s_008um_00450_00671-1,
s_008um_00351_00494-1,
s_008um_00749_00115-1,Fibroblast
s_008um_00371_00196-1,Fibroblast
s_008um_00024_00668-1,
s_008um_00656_00543-1,Fibroblast
s_008um_00780_00727-1,Fibroblast
s_008um_00413_00729-1,Fibroblast
s_008um_00418_00707-1,
s_008um_00716_00770-1,
s_008um_00654_00731-1,Fibroblast
s_008um_00198_00607-1,Fibroblast
s_008um_00236_00544-1,
s_008um_00145_00048-1,
s_008um_00734_00607-1,Fibroblast
s_008um_00803_00566-1,Fibroblast
s_008um_00349_00621-1,Fibroblast
s_008um_00388_00558-1,Fibroblast
s_008um_00564_00319-1,
s_008um_00774_00214-1,Fibroblast
s_008um_00166_00072-1,
s_008um_00687_00666-1,Fibroblast
s_008um_00280_00267-1,Fibroblast
s_008um_00167_00191-1,
s_008um_00163_00218-1,
s_008um_00169_00627-1,
s_008um_00700_00258-1,Fibroblast
s_008um_00630_00346-1,
s_008um_00163_00698-1,
s_008um_00759_00060-1,
s_008um_00819_00134-1,Fibroblast
s_008um_00646_00831-1,
s_008um_00300_00740-1,Fibroblast
s_008um_00365_00187-1,Fibroblast
s_008um_00442_00359-1,
s_008um_00507_00571-1,
s_008um_00262_00657-1,Fibroblast
s_008um_00764_00089-1,Fibroblast
s_008um_00172_00589-1,
s_008um_00793_00210-1,Fibroblast
s_008um_00705_00689-1,Fibroblast
s_008um_00776_00582-1,Fibroblast
s_008um_00414_00522-1,
s_008um_00282_00618-1,Fibroblast
s_008um_00240_00711-1,Fibroblast
s_008um_00219_00107-1,
s_008um_00625_00243-1,
s_008um_00399_00166-1,Fibroblast
s_008um_00182_00529-1,
s_008um_00716_00793-1,
s_008um_00314_00339-1,
s_008um_00727_00368-1,
s_008um_00336_00159-1,Fibroblast
s_008um_00366_00248-1,Fibroblast
s_008um_00059_00142-1,
s_008um_00217_00500-1,
s_008um_00730_00820-1,
s_008um_00752_00302-1,
s_008um_00185_00149-1,
s_008um_00499_00150-1,
s_008um_00728_00677-1,Fibroblast
s_008um_00127_00116-1,
s_008um_00161_00102-1,
s_008um_00257_00662-1,Fibroblast
s_008um_00794_00669-1,Fibroblast
s_008um_00333_00369-1,
s_008um_00803_00262-1,Fibroblast
s_008um_00667_00703-1,Fibroblast
s_008um_00126_00147-1,
s_008um_00660_00173-1,
s_008um_00708_00717-1,Fibroblast
s_008um_00264_00546-1,
s_008um_00159_00478-1,
s_008um_00785_00715-1,Fibroblast
s_008um_00373_00128-1,MCF7
s_008um_00224_00095-1,
s_008um_00372_00602-1,Fibroblast
s_008um_00386_00061-1,
s_008um_00293_00185-1,Fibroblast
s_008um_00532_00241-1,
s_008um_00238_00373-1,
s_008um_00159_00477-1,
s_008um_00232_00027-1,
s_008um_00314_00153-1,Fibroblast
s_008um_00725_00278-1,Fibroblast
s_008um_00338_00094-1,Fibroblast
s_008um_00711_00217-1,Fibroblast
s_008um_00304_00431-1,
s_008um_00159_00058-1,
s_008um_00196_00062-1,
s_008um_00261_00110-1,Fibroblast
s_008um_00824_00103-1,Fibroblast
s_008um_00757_00131-1,MCF10A
s_008um_00785_00621-1,Fibroblast
s_008um_00704_00298-1,
s_008um_00698_00301-1,
s_008um_00161_00476-1,
s_008um_00444_00629-1,
s_008um_00271_00284-1,
s_008um_00217_00170-1,
s_008um_00578_00622-1,
s_008um_00320_00234-1,Fibroblast
s_008um_00544_00208-1,
s_008um_00310_00355-1,
s_008um_00241_00614-1,Fibroblast
s_008um_00152_00595-1,
s_008um_00415_00635-1,
s_008um_00833_00626-1,Fibroblast
s_008um_00641_00785-1,
s_008um_00814_00124-1,Fibroblast
s_008um_00332_00499-1,
s_008um_00661_00054-1,
s_008um_00793_00070-1,
s_008um_00318_00788-1,
s_008um_00092_00270-1,
s_008um_00377_00152-1,Fibroblast
s_008um_00430_00579-1,
s_008um_00393_00715-1,MCF7
s_008um_00453_00637-1,
s_008um_00088_00139-1,
s_008um_00238_00318-1,
s_008um_00170_00052-1,
s_008um_00239_00473-1,
s_008um_00201_00527-1,
s_008um_00353_00623-1,Fibroblast
s_008um_00226_00621-1,Fibroblast
s_008um_00307_00515-1,
s_008um_00523_00638-1,
s_008um_00311_00575-1,Fibroblast
s_008um_00752_00099-1,Fibroblast
s_008um_00391_00639-1,Fibroblast
s_008um_00372_00277-1,Fibroblast
s_008um_00260_00456-1,
s_008um_00296_00725-1,Fibroblast
s_008um_00354_00720-1,Fibroblast
s_008um_00326_00096-1,Fibroblast
s_008um_00699_00596-1,Fibroblast
s_008um_00486_00369-1,
s_008um_00473_00639-1,
s_008um_00218_00320-1,
s_008um_00706_00749-1,Fibroblast
s_008um_00168_00584-1,
s_008um_00705_00031-1,
s_008um_00296_00099-1,Fibroblast
s_008um_00399_00079-1,Fibroblast
s_008um_00352_00619-1,MCF7
s_008um_00831_00715-1,Fibroblast
s_008um_00664_00077-1,
s_008um_00148_00056-1,
s_008um_00230_00714-1,Fibroblast
s_008um_00407_00636-1,Fibroblast
s_008um_00301_00715-1,Fibroblast
s_008um_00193_00527-1,
s_008um_00398_00032-1,
s_008um_00162_00241-1,
s_008um_00324_00685-1,Fibroblast
s_008um_00657_00315-1,
s_008um_00178_00670-1,
s_008um_00094_00061-1,
s_008um_00213_00177-1,
s_008um_00333_00602-1,Fibroblast
s_008um_00588_00578-1,
s_008um_00588_00513-1,
s_008um_00250_00788-1,
s_008um_00304_00456-1,
s_008um_00651_00744-1,Fibroblast
s_008um_00147_00201-1,
s_008um_00210_00755-1,Fibroblast
s_008um_00313_00172-1,Fibroblast
s_008um_00164_00090-1,
s_008um_00291_00695-1,Fibroblast
s_008um_00193_00681-1,Fibroblast
s_008um_00366_00709-1,Fibroblast
s_008um_00182_00035-1,
s_008um_00187_00220-1,
s_008um_00311_00640-1,Fibroblast
s_008um_00756_00113-1,Fibroblast
s_008um_00191_00667-1,Fibroblast
s_008um_00243_00269-1,Fibroblast
s_008um_00413_00203-1,
s_008um_00492_00636-1,
s_008um_00786_00717-1,Fibroblast
s_008um_00447_00618-1,
s_008um_00423_00721-1,
s_008um_00166_00132-1,
s_008um_00816_00688-1,MCF7
s_008um_00517_00245-1,
s_008um_00165_00223-1,
s_008um_00286_00459-1,
s_008um_00305_00061-1,
s_008um_00481_00222-1,
s_008um_00312_00784-1,
s_008um_00686_00302-1,
s_008um_00373_00235-1,Fibroblast
s_008um_00294_00504-1,
s_008um_00720_00342-1,
s_008um_00419_00039-1,
s_008um_00325_00758-1,Fibroblast
s_008um_00446_00597-1,
s_008um_00244_00767-1,Fibroblast
s_008um_00578_00115-1,
s_008um_00234_00566-1,Fibroblast
s_008um_00386_00302-1,
s_008um_00739_00759-1,
s_008um_00190_00065-1,
s_008um_00695_00768-1,
s_008um_00127_00083-1,
s_008um_00297_00698-1,Fibroblast
s_008um_00127_00266-1,
s_008um_00419_00096-1,
s_008um_00828_00672-1,Fibroblast
s_008um_00302_00085-1,Fibroblast
s_008um_00234_00603-1,Fibroblast
s_008um_00393_00650-1,Fibroblast
s_008um_00275_00169-1,Fibroblast
s_008um_00360_00087-1,Fibroblast
s_008um_00223_00519-1,
s_008um_00292_00733-1,Fibroblast
s_008um_00807_00779-1,
s_008um_00327_00143-1,Fibroblast
s_008um_00333_00621-1,Fibroblast
s_008um_00715_00251-1,Fibroblast
s_008um_00667_00118-1,
s_008um_00802_00265-1,Fibroblast
s_008um_00365_00128-1,MCF7
s_008um_00474_00046-1,
s_008um_00299_00744-1,Fibroblast
s_008um_00297_00631-1,Fibroblast
s_008um_00714_00521-1,
s_008um_00257_00431-1,
s_008um_00381_00010-1,
s_008um_00739_00558-1,MCF7
s_008um_00186_00545-1,
s_008um_00824_00284-1,
s_008um_00377_00738-1,Fibroblast
s_008um_00548_00606-1,
s_008um_00687_00279-1,Fibroblast
s_008um_00231_00758-1,Fibroblast
s_008um_00212_00762-1,Fibroblast
s_008um_00663_00202-1,
s_008um_00183_00613-1,
s_008um_00142_00289-1,
s_008um_00438_00759-1,
s_008um_00707_00775-1,
s_008um_00335_00104-1,Fibroblast
s_008um_00654_00216-1,
s_008um_00771_00196-1,Fibroblast
s_008um_00417_00686-1,
s_008um_00640_00649-1,Fibroblast
s_008um_00304_00142-1,MCF10A
s_008um_00752_00596-1,Fibroblast
s_008um_00542_00291-1,
s_008um_00305_00673-1,Fibroblast
s_008um_00486_00240-1,
