Barcode,PrintPattern
s_008um_00052_00734-1,Fibroblast_CTRL
s_008um_00294_00496-1,
s_008um_00141_00201-1,MCF10A_CTRL
s_008um_00554_00215-1,Pattern_3
s_008um_00565_00219-1,Pattern_3
s_008um_00540_00520-1,
s_008um_00195_00796-1,Fibroblast_CTRL
s_008um_00518_00330-1,
s_008um_00124_00774-1,Fibroblast_CTRL
s_008um_00451_00155-1,
s_008um_00677_00267-1,Pattern_3
s_008um_00126_00262-1,MCF10A_CTRL
s_008um_00066_00188-1,MCF10A_CTRL
s_008um_00714_00218-1,
s_008um_00772_00140-1,
s_008um_00151_00426-1,
s_008um_00222_00506-1,
s_008um_00719_00075-1,
s_008um_00645_00214-1,Pattern_3
s_008um_00681_00169-1,Pattern_3
s_008um_00162_00668-1,
s_008um_00017_00236-1,MCF10A_CTRL
s_008um_00687_00074-1,
s_008um_00685_00580-1,
s_008um_00490_00074-1,
s_008um_00575_00798-1,
s_008um_00651_00030-1,
s_008um_00016_00782-1,Fibroblast_CTRL
s_008um_00275_00470-1,
s_008um_00153_00204-1,MCF10A_CTRL
s_008um_00615_00831-1,
s_008um_00612_00192-1,Pattern_3
s_008um_00522_00667-1,Random_3
s_008um_00150_00739-1,Fibroblast_CTRL
s_008um_00567_00199-1,Pattern_3
s_008um_00681_00270-1,Pattern_3
s_008um_00662_00250-1,Pattern_3
s_008um_00696_00636-1,
s_008um_00117_00660-1,
s_008um_00631_00113-1,Pattern_3
s_008um_00676_00623-1,
s_008um_00657_00140-1,Pattern_3
s_008um_00583_00167-1,Pattern_3
s_008um_00561_00311-1,
s_008um_00699_00581-1,
s_008um_00018_00780-1,Fibroblast_CTRL
s_008um_00676_00618-1,
s_008um_00608_00546-1,Random_3
s_008um_00773_00172-1,
s_008um_00739_00701-1,
s_008um_00603_00699-1,Random_3
s_008um_00696_00011-1,
s_008um_00537_00638-1,Random_3
s_008um_00193_00802-1,Fibroblast_CTRL
s_008um_00183_00511-1,
s_008um_00544_00316-1,
s_008um_00151_00774-1,Fibroblast_CTRL
s_008um_00746_00165-1,
s_008um_00640_00479-1,
s_008um_00423_00180-1,
s_008um_00630_00573-1,Random_3
s_008um_00051_00178-1,MCF10A_CTRL
s_008um_00716_00610-1,
s_008um_00010_00151-1,MCF10A_CTRL
s_008um_00734_00198-1,
s_008um_00223_00690-1,Fibroblast_CTRL
s_008um_00110_00228-1,MCF10A_CTRL
s_008um_00339_00530-1,
s_008um_00247_00169-1,
s_008um_00611_00489-1,
s_008um_00476_00030-1,
s_008um_00024_00233-1,MCF10A_CTRL
s_008um_00765_00077-1,
s_008um_00760_00646-1,
s_008um_00726_00293-1,
s_008um_00810_00156-1,
s_008um_00272_00644-1,
s_008um_00595_00797-1,
s_008um_00230_00434-1,
s_008um_00658_00723-1,Random_3
s_008um_00533_00101-1,
s_008um_00416_00722-1,
s_008um_00564_00080-1,
s_008um_00152_00669-1,
s_008um_00399_00401-1,
s_008um_00685_00008-1,
s_008um_00237_00792-1,Fibroblast_CTRL
s_008um_00332_00320-1,
s_008um_00772_00015-1,
s_008um_00470_00804-1,
s_008um_00069_00217-1,MCF10A_CTRL
s_008um_00496_00253-1,
s_008um_00568_00356-1,
s_008um_00102_00185-1,MCF10A_CTRL
s_008um_00762_00515-1,
s_008um_00545_00348-1,
s_008um_00552_00807-1,
s_008um_00106_00776-1,Fibroblast_CTRL
s_008um_00503_00771-1,
s_008um_00550_00353-1,
s_008um_00269_00661-1,
s_008um_00673_00738-1,
s_008um_00338_00517-1,
s_008um_00567_00500-1,
s_008um_00134_00730-1,Fibroblast_CTRL
s_008um_00753_00076-1,
s_008um_00729_00139-1,
s_008um_00156_00806-1,Fibroblast_CTRL
s_008um_00261_00761-1,Fibroblast_CTRL
s_008um_00306_00160-1,
s_008um_00240_00502-1,
s_008um_00740_00622-1,
s_008um_00119_00828-1,Fibroblast_CTRL
s_008um_00190_00670-1,
s_008um_00544_00533-1,
s_008um_00743_00122-1,
s_008um_00575_00185-1,Pattern_3
s_008um_00586_00345-1,
s_008um_00042_00180-1,MCF10A_CTRL
s_008um_00348_00267-1,
s_008um_00708_00515-1,
s_008um_00675_00619-1,
s_008um_00710_00305-1,
s_008um_00446_00722-1,
s_008um_00799_00111-1,
s_008um_00082_00155-1,MCF10A_CTRL
s_008um_00015_00770-1,Fibroblast_CTRL
s_008um_00821_00178-1,
s_008um_00285_00472-1,
s_008um_00562_00617-1,Random_3
s_008um_00185_00063-1,
s_008um_00692_00283-1,
s_008um_00458_00743-1,
s_008um_00490_00779-1,
s_008um_00219_00825-1,Fibroblast_CTRL
s_008um_00769_00175-1,
s_008um_00766_00213-1,
s_008um_00577_00169-1,Pattern_3
s_008um_00470_00667-1,
s_008um_00596_00739-1,Random_3
s_008um_00241_00461-1,
s_008um_00242_00521-1,MCF7_CTRL
s_008um_00646_00175-1,Pattern_3
s_008um_00638_00675-1,Random_3
s_008um_00193_00552-1,MCF7_CTRL
s_008um_00485_00616-1,
s_008um_00151_00160-1,
s_008um_00633_00264-1,Pattern_3
s_008um_00533_00309-1,
s_008um_00122_00239-1,MCF10A_CTRL
s_008um_00415_00135-1,
s_008um_00635_00242-1,Pattern_3
s_008um_00775_00334-1,
s_008um_00300_00280-1,
s_008um_00170_00659-1,
s_008um_00279_00770-1,
s_008um_00257_00081-1,
s_008um_00658_00687-1,Random_3
s_008um_00075_00762-1,Fibroblast_CTRL
s_008um_00304_00134-1,
s_008um_00441_00223-1,
s_008um_00725_00179-1,
s_008um_00582_00119-1,Pattern_3
s_008um_00520_00776-1,
s_008um_00775_00292-1,
s_008um_00169_00827-1,Fibroblast_CTRL
s_008um_00204_00837-1,Fibroblast_CTRL
s_008um_00787_00139-1,
